# 
#                 columns are tag, mass, x, y, z, vx, vy, vz, ax, ay, az, EK, EU, E
#                 Time=10.000000
# 
1.000000,0.002000,0.799722,-0.009506,0.192710,3.315448,-2.262663,-2.886198,-12.125328,0.975415,-3.076415,80.573060,-161.824438,-81.251378
2.000000,0.002000,2.259283,2.389000,-1.716822,-1.155573,0.597429,-1.856737,-0.870945,-0.906060,0.638100,0.000000,0.000000,0.000000
3.000000,0.002000,-0.282293,-0.800256,1.224970,0.020860,0.911139,-1.283258,0.847493,2.932940,-4.976938,0.000000,0.000000,0.000000
4.000000,0.002000,0.105415,-0.112754,0.909035,0.142542,2.542391,1.163051,-2.135803,1.737059,-11.205838,0.000000,0.000000,0.000000
5.000000,0.002000,-0.251676,-0.030734,0.014436,-2.502189,-0.462524,-2.921121,10.565673,4.443977,-6.040989,0.000000,0.000000,0.000000
6.000000,0.002000,-0.312225,0.012416,-0.489687,-1.281231,-1.843225,-1.982624,10.684128,1.831141,14.700433,0.000000,0.000000,0.000000
7.000000,0.002000,0.716683,-0.051117,-3.353307,0.130386,0.708846,-0.457590,-0.340299,0.061570,1.547623,0.002000,1577139022369446083322798405560457826463402338589605888.000000,-0.009506
8.000000,0.002000,-0.573852,0.157303,-1.228303,0.124423,0.680469,-0.612023,2.872266,-0.631193,6.304976,0.002000,930382473798674171610975997523362011431124862008408021056652788629504.000000,2.389000
9.000000,0.002000,-1.727791,0.743508,1.426065,1.227190,-0.574855,-0.712321,2.151753,-0.864338,-1.733642,0.002000,0.799722,-0.800256
10.000000,0.002000,-1.546216,1.209390,2.377623,-0.142994,-0.932109,-0.932472,0.946840,-0.768632,-1.492021,0.002000,2.259283,-0.112754
11.000000,0.002000,0.248213,0.371008,-0.114753,0.928628,0.401411,-2.853335,-10.602243,-12.671128,3.860835,0.002000,-0.282293,-0.030734
12.000000,0.002000,-0.803137,1.933798,0.737752,0.289242,-1.772985,-0.533674,1.257279,-2.930525,-1.175577,0.002000,0.105415,0.012416
13.000000,0.002000,-0.460015,-0.636884,-0.464707,2.204642,0.786751,-2.156418,5.473829,9.405898,5.627715,0.002000,-0.251676,-0.051117
14.000000,0.002000,1.480829,0.536751,-0.717757,1.670990,1.222581,0.210095,-4.486485,-0.514381,1.972524,0.002000,-0.312225,0.157303
15.000000,0.002000,0.471919,-0.350121,-0.012379,-4.908438,1.130671,-2.166467,-11.952257,10.914414,-1.096077,0.002000,0.716683,0.743508
16.000000,0.002000,-0.020623,1.813927,0.518143,0.514656,-1.569824,-2.131365,-0.013861,-4.211581,-1.255497,0.002000,-0.573852,1.209390
17.000000,0.002000,-0.878001,-0.434602,-0.310628,1.370502,1.125249,0.335845,8.859530,5.105861,3.013200,0.002000,-1.727791,0.371008
18.000000,0.002000,0.092882,-0.227399,-0.276586,-1.736535,-3.288616,0.122743,-4.404359,15.775801,12.984803,0.002000,-1.546216,1.933798
19.000000,0.002000,-0.049705,-0.031255,0.135768,0.006135,1.385725,-0.449739,3.623692,9.005626,-7.552959,0.002000,0.248213,-0.636884
20.000000,0.002000,-0.096262,0.374932,0.120477,-3.119249,1.885257,-1.127017,5.366029,-13.211897,-7.085543,0.002000,-0.803137,0.536751
21.000000,0.002000,0.487576,0.063053,-0.004011,2.606488,-0.682497,-2.682788,-17.985749,1.433781,-1.155733,0.002000,-0.460015,-0.350121
22.000000,0.002000,-1.140847,-0.952408,-0.588655,0.439324,1.037198,0.428022,3.678640,3.469203,2.018929,0.002000,1.480829,1.813927
23.000000,0.002000,-1.402378,0.177190,-1.053277,-0.854586,2.241816,1.334584,3.698715,-0.217189,2.845422,0.002000,0.471919,-0.434602
24.000000,0.002000,-0.049654,-0.558262,-0.083968,1.235471,2.268840,-0.231393,0.990978,15.610458,2.497982,0.002000,-0.020623,-0.227399
25.000000,0.002000,0.154645,0.321747,0.394841,-0.690887,3.397440,1.044052,-4.554863,-9.842318,-14.942603,0.002000,-0.878001,-0.031255
26.000000,0.002000,1.607223,0.667694,-0.409150,0.450926,-1.153266,-1.061902,-4.304332,-1.655261,1.096210,0.002000,0.092882,0.374932
27.000000,0.002000,0.251936,0.685946,-0.149177,1.953661,-1.811428,0.880834,-5.871051,-14.853223,3.196025,0.002000,-0.049705,0.063053
28.000000,0.002000,-0.014025,-0.231588,-0.908710,0.122739,1.190787,0.467776,0.465733,3.447882,11.125596,0.002000,-0.096262,-0.952408
29.000000,0.002000,1.029686,0.259568,-4.735756,-0.313392,-0.299406,0.288417,-0.184218,-0.034839,0.816620,0.002000,0.487576,0.177190
30.000000,0.002000,0.134646,0.358768,0.011878,-1.676291,-3.317582,-3.989204,-3.116020,-17.086563,3.821233,0.002000,-1.140847,-0.558262
31.000000,0.002000,-0.681357,0.387858,0.097681,2.754276,0.921928,0.034523,13.569983,-6.309483,-3.187187,0.002000,-1.402378,0.321747
32.000000,0.002000,-0.078472,0.058195,0.102862,-1.472061,2.263262,-0.032795,6.590791,-4.981891,-9.783790,0.002000,-0.049654,0.667694
33.000000,0.002000,-0.064544,-0.075299,0.609617,-0.406306,1.894391,-2.654690,4.849916,2.024905,-17.860036,0.002000,0.154645,0.685946
34.000000,0.002000,-0.791647,-0.382593,-0.277142,1.967498,2.961201,-1.421962,9.835217,5.871544,3.937144,0.002000,1.607223,-0.231588
35.000000,0.002000,-1.105705,0.908158,-1.638335,1.887014,-0.612571,1.287196,1.742827,-1.292033,2.674561,0.002000,0.251936,0.259568
36.000000,0.002000,1.209967,0.695312,-1.339442,-2.204174,0.096789,1.181424,-2.532133,-1.261480,2.903743,0.002000,-0.014025,0.358768
37.000000,0.002000,-1.252128,-0.170809,-3.778004,-1.007642,-0.632819,-1.334626,0.337339,0.080141,1.083541,0.002000,1.029686,0.387858
38.000000,0.002000,0.374077,-0.839450,0.798953,0.643563,0.728175,-0.544820,-4.815315,6.462103,-5.877436,0.002000,0.134646,0.058195
39.000000,0.002000,0.195555,-0.266983,0.674242,1.291538,-0.975497,-0.479775,-4.256361,5.884951,-12.046543,0.002000,-0.681357,-0.075299
40.000000,0.002000,-0.618231,-0.589487,-1.368432,0.907599,-0.471992,0.837501,1.988234,2.171599,4.379036,0.002000,-0.078472,-0.382593
41.000000,0.002000,0.206741,-0.492712,0.404154,-1.460645,2.634065,0.241504,-5.113287,12.983681,-8.536689,0.002000,-0.064544,0.908158
42.000000,0.002000,1.511806,-1.311994,1.663329,0.131368,-0.564274,1.556960,-1.419166,1.278054,-1.475263,0.002000,-0.791647,0.695312
43.000000,0.002000,-0.578813,-1.316505,0.180781,-1.365892,2.562913,1.434429,2.057940,5.509735,-0.557213,0.002000,-1.105705,-0.170809
44.000000,0.002000,0.192726,-0.690672,-0.001809,0.711138,0.399888,-1.326884,-4.796421,12.252544,-0.991702,0.002000,1.209967,-0.839450
45.000000,0.002000,-0.925413,0.141367,0.334587,1.877675,-0.116629,1.403379,10.910022,-0.831365,-3.559573,0.002000,-1.252128,-0.266983
46.000000,0.002000,-0.026930,-0.045344,0.535936,1.915068,-0.218451,1.002686,1.153993,1.938902,-14.220082,0.002000,0.374077,-0.589487
47.000000,0.002000,1.465605,0.263053,-0.058691,1.173681,0.902528,0.649233,-5.989166,-0.512606,0.203330,0.002000,0.195555,-0.492712
48.000000,0.002000,0.392755,-0.579807,0.189835,0.857016,-0.227076,0.084575,-7.731934,11.293447,-2.149200,0.002000,-0.618231,-1.311994
49.000000,0.002000,-0.780166,0.086649,-0.499797,-3.654476,0.385081,-2.975077,10.709154,-0.647811,7.863568,0.002000,0.206741,-1.316505
50.000000,0.002000,0.071609,-0.061134,0.067403,0.300129,4.988582,1.014927,-5.213619,8.383841,-5.856532,0.002000,1.511806,-0.690672
51.000000,0.002000,-0.530714,-0.831613,-0.292766,-0.221991,-0.775698,-0.314530,4.616010,8.499491,2.354203,0.002000,-0.578813,0.141367
52.000000,0.002000,0.329209,0.254002,0.397825,-1.221077,0.494900,1.436867,-9.744853,-3.071510,-11.808097,0.002000,0.192726,-0.045344
53.000000,0.002000,-0.942572,0.169680,0.393551,-0.883709,0.273374,0.943963,10.218526,-0.883393,-3.496251,0.002000,-0.925413,0.263053
54.000000,0.002000,-0.510250,-0.252831,-1.390839,1.544219,0.862960,-0.794500,1.852614,1.280508,5.514982,0.002000,-0.026930,-0.579807
55.000000,0.002000,0.627783,0.462994,-0.073164,1.025278,0.291016,1.789194,-12.467077,-7.794207,1.360304,0.002000,1.465605,0.086649
56.000000,0.002000,0.149206,-0.423878,-0.539811,-1.632169,1.911298,0.227934,-3.850610,9.920572,9.839402,0.002000,0.392755,-0.061134
57.000000,0.002000,-1.145578,-0.809856,-1.583298,-2.358345,0.628222,-0.611802,1.778118,1.417772,2.621749,0.002000,-0.780166,-0.831613
58.000000,0.002000,-0.392746,-1.607027,0.654690,0.442340,1.436907,-1.235060,0.893659,4.052747,-1.553107,0.002000,0.071609,0.254002
59.000000,0.002000,0.271176,-0.346210,-0.125207,-1.128091,1.891328,-2.605723,-10.125819,15.259206,3.281050,0.002000,-0.530714,0.169680
60.000000,0.002000,0.151465,-0.050639,0.200275,-1.138718,-0.779167,-0.256007,-9.219356,6.711284,-10.965228,0.002000,0.329209,-0.252831
61.000000,0.002000,0.051756,0.505224,0.027242,3.904735,0.319123,-1.161157,-3.052139,-17.961628,-2.828241,0.002000,-0.942572,0.462994
62.000000,0.002000,3.317501,-0.555081,2.509845,-1.018859,0.116507,0.196572,-0.845918,0.159424,-0.641128,0.002000,-0.510250,-0.423878
63.000000,0.002000,0.201336,0.351586,0.066158,-0.084057,-2.927130,-1.876736,-10.555565,-14.495550,-1.019213,0.002000,0.627783,-0.809856
64.000000,0.002000,0.468341,-0.010935,0.032371,-0.613301,4.314087,0.414330,-17.933150,2.596486,-2.672528,0.002000,0.149206,-1.607027
65.000000,0.002000,0.119468,-0.481206,0.347065,2.984863,2.031141,0.766001,-4.716507,13.024618,-7.568750,0.002000,-1.145578,-0.346210
66.000000,0.002000,-1.073328,1.018295,0.265536,-0.980437,-0.433745,-0.932208,4.907192,-4.769028,-0.622319,0.002000,-0.392746,-0.050639
67.000000,0.002000,1.229096,-2.107977,1.219280,0.969855,-1.046986,0.640357,-0.973233,1.725071,-1.043919,0.002000,0.271176,0.505224
68.000000,0.002000,0.689342,-0.949233,0.690792,0.737448,-2.334116,-0.552115,-3.349914,4.729856,-3.067776,0.002000,0.151465,-0.555081
69.000000,0.002000,-1.128192,2.454368,-0.061793,0.840773,1.202794,1.124366,1.093082,-2.214660,0.031034,0.002000,0.051756,0.351586
70.000000,0.002000,-0.200593,-0.142835,0.279839,1.976404,-4.025099,2.356084,7.203231,9.671522,-10.328507,0.002000,3.317501,-0.010935
71.000000,0.002000,-0.241891,-0.300088,0.100383,-2.437912,0.097437,-3.847681,7.970995,13.285687,-2.917595,0.002000,0.201336,-0.481206
72.000000,0.002000,0.149275,0.273852,0.370057,-1.081509,0.397357,-4.490935,-9.479126,-3.293533,-16.186652,0.002000,0.468341,1.018295
73.000000,0.002000,0.429052,0.526994,2.098552,1.234801,-0.306055,2.222954,-0.585465,-0.641551,-3.140226,0.002000,0.119468,-2.107977
74.000000,0.002000,-0.086454,0.660976,0.068082,0.215894,-1.737396,-0.453291,2.284120,-16.196064,-2.563091,0.002000,-1.073328,-0.949233
75.000000,0.002000,1.980683,-0.472234,0.306711,-1.824193,0.102631,1.111852,-3.336963,0.994049,-0.623831,0.002000,1.229096,2.454368
76.000000,0.002000,0.050257,0.017213,-0.132195,-4.686567,0.121059,-0.665075,-14.266575,8.558014,10.719304,0.002000,0.689342,-0.142835
77.000000,0.002000,0.144803,-0.053918,-0.410862,-0.962799,-1.855281,-2.972699,-4.763518,8.663745,15.698823,0.002000,-1.128192,-0.300088
78.000000,0.002000,0.320948,0.463982,-0.910647,-0.762959,-0.781449,0.242594,-3.512147,-4.049699,9.483653,0.002000,-0.200593,0.273852
79.000000,0.002000,-0.429527,-0.547539,-0.464000,3.024758,-0.190943,-1.063431,5.568120,9.206506,6.628524,0.002000,-0.241891,0.526994
80.000000,0.002000,2.753516,2.558811,-2.052515,-1.017272,0.396026,0.219378,-0.706717,-0.632437,0.508468,0.002000,0.149275,0.660976
81.000000,0.002000,0.134469,-0.201161,-0.000419,1.506917,0.278697,-0.977369,-6.174187,17.060630,-5.622517,0.002000,0.429052,-0.472234
82.000000,0.002000,-0.222628,-0.117019,1.142626,2.052057,1.107970,1.928790,1.438276,1.270308,-8.512202,0.002000,-0.086454,0.017213
83.000000,0.002000,-0.756775,0.018907,-0.784574,2.868615,1.517595,-0.609091,6.811136,0.149946,7.332758,0.002000,1.980683,-0.053918
84.000000,0.002000,0.023730,-2.430413,1.853408,0.230888,0.301165,-0.127402,-0.019942,1.488687,-1.125975,0.002000,0.050257,0.463982
85.000000,0.002000,-0.369722,0.374570,-0.143548,3.286722,-0.728477,-4.353281,13.728201,-12.727698,3.939895,0.002000,0.144803,-0.547539
86.000000,0.002000,0.615344,-0.928755,-0.193923,-0.002820,0.269016,-1.830235,-4.389462,7.026287,1.263869,0.002000,0.320948,2.558811
87.000000,0.002000,0.033406,-0.702012,-0.229117,1.240065,-3.204906,0.204202,-1.840935,13.165615,4.185647,0.002000,-0.429527,-0.201161
88.000000,0.002000,0.092917,-0.378544,-0.163072,-2.214443,0.106932,-0.892584,-3.798019,16.219436,6.218225,0.002000,2.753516,-0.117019
89.000000,0.002000,-1.038486,-2.034751,0.035535,-1.033184,0.282430,0.279861,1.256949,2.631540,-0.054460,0.002000,0.134469,0.018907
90.000000,0.002000,0.177240,0.273456,-0.051949,0.260351,-0.570261,1.192538,-7.619647,-9.665115,1.202600,0.002000,-0.222628,-2.430413
91.000000,0.002000,-1.157206,-4.466898,-0.553166,0.848112,0.905271,1.277552,0.188099,0.846197,0.124194,0.002000,-0.756775,0.374570
92.000000,0.002000,-0.677710,-0.395878,-0.277875,0.993780,0.068437,-0.127121,10.174815,7.442453,3.936638,0.002000,0.023730,-0.928755
93.000000,0.002000,-0.103347,-0.071762,1.643210,1.898184,-1.539624,-1.465127,0.211261,0.447935,-5.020741,0.002000,-0.369722,-0.702012
94.000000,0.002000,1.536722,0.047649,0.228164,3.270196,-0.765478,-1.000537,-5.565822,0.215357,-0.970633,0.002000,0.615344,-0.378544
95.000000,0.002000,1.137927,-0.412857,-0.382677,-0.935503,0.107259,-0.173377,-6.296283,2.877166,2.068266,0.002000,0.033406,-2.034751
96.000000,0.002000,-0.158683,0.766181,-0.530686,-0.909987,0.743189,-1.408055,1.221559,-9.975321,7.278606,0.002000,0.092917,0.273456
97.000000,0.002000,0.806598,0.382025,0.009854,-1.742408,1.553349,-1.294280,-11.663566,-4.441481,-1.281376,0.002000,-1.038486,-4.466898
98.000000,0.002000,0.460308,1.332319,-4.286760,0.028633,-0.356545,0.655141,-0.101656,-0.273009,0.928925,0.002000,0.177240,-0.395878
99.000000,0.002000,-0.006797,-0.287909,0.113521,-0.728733,0.201220,-0.385908,2.370967,17.544232,-3.645946,0.002000,-1.157206,-0.071762
100.000000,0.002000,-0.093784,-0.196567,0.162102,-2.195315,-0.442811,1.888112,4.738133,12.862078,-7.881704,0.002000,-0.677710,0.047649
