# 
#                 columns are tag, mass, x, y, z, vx, vy, vz, ax, ay, az, EK, EU, E
#                 Time=2.000000
# 
1.000000,0.002000,-1.638847,0.712786,0.647454,-1.302060,1.719516,2.125117,3.453794,-1.585472,-1.390913,80.056427,-163.775106,-83.718679
2.000000,0.002000,-1.295541,1.507222,-3.461351,-1.823048,-0.942503,-0.085612,0.405890,-0.469475,1.086144,0.000000,0.000000,0.000000
3.000000,0.002000,-0.495549,0.695118,-0.297420,2.512204,-2.058404,0.708151,6.521908,-9.106688,3.907829,0.000000,0.000000,0.000000
4.000000,0.002000,0.229020,1.072091,0.319387,-0.481727,0.364082,-2.172330,-1.911834,-8.299903,-2.480588,0.000000,0.000000,0.000000
5.000000,0.002000,0.366755,0.140909,-0.309561,0.434598,-0.262707,2.349106,-13.749451,-5.048678,11.006143,0.000000,0.000000,0.000000
6.000000,0.002000,-0.356105,-0.537370,-0.110558,2.224425,-0.282794,2.186924,8.007904,12.499331,2.968393,0.000000,0.000000,0.000000
7.000000,0.002000,-0.065058,-0.220599,1.031318,0.047828,-2.892812,3.207070,0.564281,1.387677,-8.962484,0.000000,0.000000,0.000000
8.000000,0.002000,0.232517,0.266643,0.083238,2.562128,1.555235,4.055377,-12.146679,-11.996473,-8.037079,115923892991663734582847026870797337344030231976010093171449286565843062745925325533140038438107183040167936.000000,4787142885798284855643719328774778173795084465174780641693637665648403877169013833835529490445327801418802613545316354916722037909682831782952926534213756634845881425509470953275392.000000,0.000000
9.000000,0.002000,-0.699954,0.472793,0.044428,-3.927847,2.686889,0.980605,11.532387,-8.526185,-0.911048,0.002000,-1.638847,0.000000
10.000000,0.002000,2.156250,-0.195074,-1.640654,1.268652,0.563651,-0.245410,-1.991865,0.188554,1.601415,0.002000,-1.295541,0.000000
11.000000,0.002000,0.086042,-0.058129,0.393864,1.922566,3.419063,-0.792582,-4.233826,3.768285,-16.213002,0.002000,-0.495549,0.000000
12.000000,0.002000,2.109704,1.675130,0.155017,0.979238,1.289622,0.313629,-1.949217,-1.478223,-0.087993,0.002000,0.229020,0.000000
13.000000,0.002000,0.452540,0.771095,0.315748,-2.262906,-0.282778,2.378969,-5.617415,-9.083960,-3.487909,0.002000,0.366755,0.000000
14.000000,0.002000,-1.726802,0.152617,1.691231,-0.683583,-0.534161,-0.224658,2.063409,-0.150106,-2.193412,0.002000,-0.356105,0.000000
