# 
#                 columns are tag, mass, x, y, z, vx, vy, vz, ax, ay, az
#                 Time=0.700000
# 
1.000000,0.002000,1.242090,0.444675,0.832297,-2.021598,-0.235238,-1.047486,-4.488490,-1.040048,-2.998368
2.000000,0.002000,1.988759,2.014065,-0.889364,-0.855357,-0.262945,0.350439,-1.489173,-1.508873,0.666084
3.000000,0.002000,-0.411169,-0.178621,-0.138144,-1.238291,2.209772,2.120917,21.470917,13.162610,9.281232
4.000000,0.002000,-0.066335,-0.344148,-0.686747,-1.507529,1.695236,-2.216496,1.071656,7.029111,13.879930
5.000000,0.002000,-0.125348,0.077616,-0.140382,-3.301399,-2.203002,0.237192,16.033841,-5.551390,16.660890
6.000000,0.002000,-0.125285,0.043055,0.227578,0.108053,-5.311919,-1.050592,11.915608,1.501242,-26.571871
7.000000,0.002000,-0.594566,-0.148862,-1.783036,-1.119527,1.211497,2.301430,1.370915,0.266253,4.429723
8.000000,0.002000,0.279522,0.576627,-0.038705,-2.053977,-2.930593,1.937167,-8.858703,-18.048014,1.986895
9.000000,0.002000,2.952312,-0.871702,0.491858,0.315018,1.102940,0.544682,-1.850245,0.569982,-0.311506
10.000000,0.002000,-1.504200,1.694158,1.950601,-1.547680,-0.319845,0.103021,1.085026,-1.242692,-1.424859
11.000000,0.002000,-0.341908,0.010578,0.510227,1.703497,-1.531509,0.531213,12.027128,-0.772284,-19.197489
12.000000,0.002000,-1.217925,-1.050727,-1.257014,2.139832,-0.364424,-1.465855,2.424317,2.124637,2.627630
13.000000,0.002000,-0.227211,0.139182,0.129907,-2.221974,-4.862673,0.479936,20.740061,-14.424686,-11.625242
14.000000,0.002000,-0.146596,0.698542,-1.263489,0.511521,2.270480,2.011922,0.489745,-3.228752,5.733864
15.000000,0.002000,-1.524201,1.609265,-1.048839,0.873400,-1.138350,-0.437064,1.877484,-2.052390,1.280500
16.000000,0.002000,0.171856,-0.272718,-0.140530,0.221602,4.989723,-1.586346,-11.944152,21.777133,11.021887
17.000000,0.002000,-1.182754,0.202855,-0.375170,2.406887,0.412330,1.456229,8.296795,-1.645067,2.374030
18.000000,0.002000,-0.055985,-0.087924,-1.816821,-0.712383,0.775743,0.629650,0.109422,0.197516,4.841639
19.000000,0.002000,0.705198,0.495666,-0.093347,-1.015797,-1.895593,-0.004840,-11.341318,-7.567184,1.531566
20.000000,0.002000,-0.101602,0.193664,0.076421,0.360788,1.353285,-0.589613,10.904342,-26.884229,-7.448169
21.000000,0.002000,-0.916483,-0.458643,-0.675440,1.031824,0.678630,1.494667,6.444779,3.263145,5.127214
22.000000,0.002000,-0.923042,-0.133757,-1.373841,2.362272,-0.507631,-0.246669,3.339207,0.451546,5.063891
23.000000,0.002000,-1.135561,-0.147453,-0.688523,2.219866,-0.984588,1.320066,5.837526,0.814354,4.223825
24.000000,0.002000,0.225379,-0.176458,0.297924,-1.870299,-1.597645,-2.800377,-15.834156,11.003591,-18.140319
25.000000,0.002000,0.847590,-0.659566,-0.207187,-1.916397,2.249036,-0.793112,-7.458046,6.159511,1.593774
26.000000,0.002000,0.129367,0.181270,0.147053,0.467179,2.611260,1.906755,-17.656981,-20.298873,-15.817761
27.000000,0.002000,0.839853,0.215030,0.201264,-0.757483,-0.413558,2.768780,-13.005516,-2.834145,-3.229473
28.000000,0.002000,0.538841,-0.251816,-0.985639,-1.546352,-0.964206,2.589067,-5.133020,2.129919,8.184281
29.000000,0.002000,1.448663,2.116207,1.095219,-0.493941,-0.296734,-0.460625,-1.319488,-1.870642,-0.958856
30.000000,0.002000,0.290349,0.109731,0.151740,-1.303833,2.789326,-4.169840,-21.016599,-7.617843,-11.000412
31.000000,0.002000,0.092111,-0.329682,-0.026409,1.302510,-1.273825,-2.198270,-6.486414,27.793856,2.979445
32.000000,0.002000,0.199043,0.071014,-0.075286,-4.852198,-1.496971,-1.719757,-30.306514,-7.063837,13.227918
33.000000,0.002000,0.423695,-0.183371,-0.356677,-1.553375,-4.190292,0.940350,-14.901253,6.761906,11.324897
34.000000,0.002000,0.770404,0.489896,0.254458,-0.979808,-3.655717,2.580636,-10.687250,-6.281283,-3.181383
35.000000,0.002000,-0.362627,0.340219,0.326392,3.446827,-2.865200,2.091750,11.872994,-12.040475,-12.253185
36.000000,0.002000,1.537943,-0.202395,0.812741,-1.952307,0.569997,1.940482,-4.247386,0.699386,-2.377783
37.000000,0.002000,1.366707,1.971321,1.774755,-1.160299,0.272085,-0.569519,-0.994674,-1.417887,-1.296085
38.000000,0.002000,1.579351,-0.168588,1.668269,0.301824,1.168090,-1.175013,-2.311241,0.224730,-2.413214
39.000000,0.002000,-0.590159,1.542982,1.592751,-0.098301,0.171383,-0.047090,1.048959,-2.393274,-2.522312
40.000000,0.002000,-0.041932,-0.139859,-0.158907,2.319485,-0.445711,-3.157482,3.626595,14.743825,20.841257
41.000000,0.002000,0.151368,0.402082,0.163307,-2.533166,1.373857,-2.583412,-6.851218,-18.503681,-8.561246
42.000000,0.002000,-0.141332,0.125142,-0.164185,-3.961817,1.450318,2.630612,24.263846,-14.036357,23.330813
43.000000,0.002000,0.119393,0.033908,0.646129,0.707071,-3.955003,-2.493594,-4.057779,-1.433083,-18.290937
44.000000,0.002000,0.045081,0.183318,0.074389,-2.400306,1.452476,-3.752097,-2.086803,-28.162496,-10.495068
45.000000,0.002000,0.322080,0.200775,0.225405,-0.109036,-2.460396,1.112718,-19.562164,-6.849527,-15.281367
46.000000,0.002000,1.082536,-0.446533,-0.227897,-1.602544,-1.155392,0.447191,-8.121899,3.252614,1.486621
47.000000,0.002000,-0.226216,-0.443335,0.254369,-0.523317,3.972231,2.776449,6.691544,18.238477,-9.827255
48.000000,0.002000,-0.220438,-0.058175,-0.291659,1.445782,0.050809,0.490211,16.169137,8.154076,23.052522
49.000000,0.002000,1.277200,0.465630,0.904816,-2.927466,-1.144554,2.254725,-4.653438,-1.479408,-3.505059
50.000000,0.002000,1.590549,-0.442962,-0.601851,-0.611815,1.905249,0.257492,-4.608034,1.332567,1.826623
51.000000,0.002000,-0.765089,0.711272,0.397199,0.175285,-3.276691,1.515474,7.099310,-6.332923,-3.555666
52.000000,0.002000,-0.434476,-0.482501,0.308577,2.890023,1.031443,0.909112,9.946448,11.510758,-7.946196
53.000000,0.002000,0.265088,-1.125124,-1.000408,-1.780195,1.112839,1.243356,-1.559671,4.458240,3.807121
54.000000,0.002000,-0.025902,0.021487,0.761291,0.796364,1.058229,-4.129320,-0.006687,-0.411924,-16.139784
55.000000,0.002000,-0.052754,0.969244,0.105704,-2.077884,-1.138456,2.860785,0.777787,-12.388528,-1.213330
56.000000,0.002000,0.153178,-0.964738,-0.928838,-1.348273,1.331363,2.231986,-0.349876,4.509812,5.774226
57.000000,0.002000,-0.320403,-0.004050,-0.302044,-2.088409,-2.543464,-0.433707,18.274658,-1.921391,9.586021
58.000000,0.002000,0.155003,0.008308,-0.005985,-3.243269,-3.126387,2.321626,-25.617207,0.409147,0.031267
59.000000,0.002000,-0.529759,0.768602,-0.377475,2.002874,-1.380193,1.699302,6.289148,-8.359520,4.743961
60.000000,0.002000,0.282051,-0.051816,0.084588,-0.571453,3.262223,-1.483499,-25.967625,6.167640,-9.637398
61.000000,0.002000,-0.570834,-0.074818,-0.517207,1.306737,2.912560,1.898899,10.926710,0.706320,10.785186
62.000000,0.002000,-1.754165,1.091179,-1.266117,1.422752,0.308008,0.968567,2.382211,-1.354520,1.599466
63.000000,0.002000,-0.267540,-0.104802,-0.203530,4.110724,0.177527,2.804661,22.193963,8.909053,17.203967
64.000000,0.002000,1.217430,-0.549596,-1.020125,-1.701074,1.752098,-1.288972,-4.215802,1.838648,3.327234
65.000000,0.002000,-0.251949,-0.652127,-0.550047,0.376782,3.217289,-0.797369,3.518259,10.396087,8.345266
66.000000,0.002000,-0.505252,1.221143,1.183039,-0.046431,-0.581865,-0.573865,1.484426,-3.819380,-3.614967
67.000000,0.002000,2.328644,-1.295491,-0.862478,-0.629023,-3.610883,-0.439015,-1.990816,1.121759,0.718073
68.000000,0.002000,-0.062043,-0.635984,-0.271836,1.824727,-0.351241,-1.477023,-0.263267,16.369624,7.287833
69.000000,0.002000,-0.732586,0.239886,0.482219,-0.463899,3.815591,-1.039321,10.511291,-3.500477,-7.196393
70.000000,0.002000,-0.098689,-0.084043,0.194610,3.840377,-0.029580,-2.108625,8.168995,6.164977,-24.664861
71.000000,0.002000,0.157418,-0.250344,0.099705,-3.744547,0.642950,-3.302809,-14.148717,22.376163,-11.302256
72.000000,0.002000,0.055303,0.145832,0.069045,2.148985,3.455546,0.243809,-8.214192,-14.103540,-5.285515
73.000000,0.002000,0.009391,0.332975,-0.402251,0.030520,-2.928921,-4.332918,-1.348877,-20.754661,14.725187
74.000000,0.002000,-0.088618,-0.188308,-0.691015,0.182522,2.490879,2.026860,1.738770,3.523231,16.514402
75.000000,0.002000,-1.650221,0.858280,-1.434773,-0.999007,0.128048,1.019022,2.282276,-1.073327,2.072489
76.000000,0.002000,0.112659,0.338676,-0.246718,-1.108244,-2.672135,0.879611,-5.891452,-18.694800,16.040454
77.000000,0.002000,0.183560,0.079382,0.373263,0.820291,-0.322767,2.244150,-12.184321,-4.518442,-22.800281
78.000000,0.002000,0.308233,0.377117,-0.447149,0.476677,0.494388,1.482004,-9.474717,-9.961344,12.403040
79.000000,0.002000,-1.979947,1.301710,3.057669,-0.835310,0.511354,1.736753,0.687119,-0.473895,-1.054134
80.000000,0.002000,-1.600534,-0.405328,-0.228726,2.193253,-1.063500,-1.328573,5.636181,1.576701,0.723877
81.000000,0.002000,0.345937,0.161378,0.044624,-1.491272,1.434817,-0.195818,-26.845594,-15.251872,-4.850454
82.000000,0.002000,-0.258474,-1.055527,-0.719595,0.416575,0.181595,2.892388,1.571753,6.452379,4.411483
83.000000,0.002000,1.328707,0.027922,-0.689336,-1.267620,-1.974771,1.001234,-6.364497,-2.880211,2.750575
84.000000,0.002000,-2.653893,0.933548,-0.335602,-0.778788,0.245151,0.530481,2.287448,-0.858823,0.314796
85.000000,0.002000,-0.043364,0.160985,-0.115268,-0.272133,-0.300297,-3.093946,6.375681,-25.893022,19.203714
86.000000,0.002000,0.278080,-0.492239,-1.344286,-1.106346,0.920955,1.677995,-1.579895,2.321410,6.400036
87.000000,0.002000,0.293875,0.722017,-1.495740,2.925992,-0.507216,0.951933,-1.010699,-2.281391,4.762706
88.000000,0.002000,0.113227,0.222919,-0.031794,1.809058,-1.171151,2.385907,-18.645313,-25.889193,3.180554
89.000000,0.002000,0.195866,0.406899,0.669616,3.941374,-0.897631,-1.911467,-4.222344,-8.430213,-12.444933
90.000000,0.002000,-0.315112,-0.057338,-0.466404,1.063388,1.072536,2.068818,15.858984,2.148070,17.865270
91.000000,0.002000,0.095923,-2.130693,1.434060,-0.490407,1.560568,-1.195418,-0.132964,2.325592,-1.589507
92.000000,0.002000,0.111801,0.364509,0.263106,-3.026958,0.164382,-0.747792,-5.575769,-18.964767,-15.690040
93.000000,0.002000,0.439767,-1.004275,-0.326460,-0.957272,0.074569,3.719701,-3.933587,7.901174,2.593600
94.000000,0.002000,1.018274,-0.188959,1.059051,-2.713754,0.006956,-0.929772,-4.661896,0.653921,-5.416933
95.000000,0.002000,-0.291838,0.510979,-0.094516,1.878776,-4.077957,-0.275500,9.656884,-16.207455,2.869908
96.000000,0.002000,1.119003,-0.136980,-0.183074,-1.204984,2.144111,-2.419359,-9.453398,1.521547,1.627583
97.000000,0.002000,0.456992,0.810528,-2.030285,-0.645655,-1.364135,-0.972891,-0.774516,-1.243854,3.273928
98.000000,0.002000,-0.163601,1.367851,0.179764,0.664922,-2.907692,1.926975,0.226897,-6.978725,-0.994512
99.000000,0.002000,0.294948,0.166342,-0.018700,-1.109634,-4.628755,0.006972,-23.090673,-12.471271,0.762014
