# 
#                 columns are tag, mass, x, y, z, vx, vy, vz, ax, ay, az
#                 Time=0.100000
# 
1.000000,0.002000,1.785123,0.427396,1.020031,0.050228,0.239801,0.320912,-3.185175,-0.643969,-1.876839
2.000000,0.002000,2.247063,1.926723,-0.983962,-0.011025,0.529681,-0.033855,-1.438252,-1.237722,0.653463
3.000000,0.002000,0.847210,-0.226188,-0.186359,-1.194712,-0.710648,-0.780358,-3.374863,0.790521,1.129438
4.000000,0.002000,0.404699,-0.013231,1.243338,-0.139328,-1.544873,-2.318860,-1.673659,0.561582,-4.149020
5.000000,0.002000,0.790024,0.189078,0.390181,0.096288,0.633335,-0.655686,-3.804477,-2.109521,-1.452732
6.000000,0.002000,0.268614,1.466250,-0.134444,-0.680154,-0.496242,0.733409,-0.559749,-4.293729,0.472942
7.000000,0.002000,0.181614,-0.774279,-2.529308,-1.326232,0.833200,0.362529,-0.192415,0.719343,2.566381
8.000000,0.002000,0.680784,0.941797,-0.721837,0.191164,0.641112,0.323594,-1.647436,-2.817685,2.422077
9.000000,0.002000,2.425792,-1.401076,0.116288,1.456752,0.597574,0.698452,-2.038991,1.231488,-0.160985
10.000000,0.002000,-0.398598,1.613397,1.597222,-2.089079,0.690999,1.162228,0.558439,-2.218041,-2.259923
11.000000,0.002000,0.003017,0.401959,-0.742671,-1.562696,0.144897,1.633873,-0.721805,0.026757,3.807125
12.000000,0.002000,-1.972014,-0.491828,-0.066706,0.270749,-1.391923,-2.232104,3.548811,1.028035,0.162911
13.000000,0.002000,1.114801,1.186561,-0.337635,-1.295265,-0.302950,0.546301,-2.824087,-2.955581,0.902622
14.000000,0.002000,-0.304688,-0.827026,-1.531340,0.020961,2.327051,-0.933357,0.892433,2.104872,3.709285
15.000000,0.002000,-1.730806,1.956468,-0.608967,-0.160520,-0.035749,-0.963525,1.678281,-1.833892,0.614004
16.000000,0.002000,-0.372061,-1.267586,0.704009,0.717425,0.028509,-0.830191,1.211415,3.570432,-1.942263
17.000000,0.002000,-1.670050,-0.151676,-0.879770,-0.386412,0.622947,0.259145,3.491954,0.153048,2.023395
18.000000,0.002000,0.345684,-0.473237,-1.400285,-0.472475,0.443962,-1.995080,-1.235985,1.315441,4.079259
19.000000,0.002000,0.167533,0.552966,0.034701,1.902885,1.159569,-0.336958,-2.169450,-2.293922,0.464357
20.000000,0.002000,0.258221,-0.617177,-0.313787,-0.507479,0.311289,0.549348,-1.356816,2.652822,1.191905
21.000000,0.002000,-0.801879,-0.428809,-0.894159,-1.156292,-0.582455,-0.643603,2.658565,1.606127,3.336890
22.000000,0.002000,-1.717170,0.144066,-0.607503,0.274716,-0.349409,-1.995440,3.667486,-0.289325,1.401347
23.000000,0.002000,-1.663790,0.394141,-0.944628,-0.188355,-0.737259,-0.275634,2.913946,-0.703319,1.993019
24.000000,0.002000,0.147698,0.697023,0.274968,0.940658,-0.480919,1.366387,-0.482637,-3.621640,-2.128844
25.000000,0.002000,1.190408,-1.250208,0.324736,0.384851,-0.011247,-0.815798,-2.591832,3.119348,-0.742889
26.000000,0.002000,-0.637230,-0.841281,-0.567589,0.595646,0.444121,0.217781,2.467435,2.898428,2.149430
27.000000,0.002000,-0.075685,0.116022,-1.090981,2.375293,0.575152,0.967534,0.735933,-0.708141,4.176600
28.000000,0.002000,0.911541,0.377147,-1.575439,0.012335,-0.923411,-0.225756,-1.901430,-0.665648,3.325771
29.000000,0.002000,1.520275,1.979346,1.197406,0.253939,0.745898,0.132532,-1.305017,-1.773294,-1.064797
30.000000,0.002000,-0.079133,-1.000495,1.069473,1.014771,0.840475,-0.015110,0.084388,2.896911,-3.293044
31.000000,0.002000,-0.401018,1.116047,0.247022,0.110352,-1.269435,0.329007,1.859505,-4.016716,-0.878938
32.000000,0.002000,1.016852,0.362899,0.670505,0.230023,-0.017317,-0.464797,-3.689959,-1.494730,-2.141732
33.000000,0.002000,0.124005,1.663964,0.022600,1.141488,-1.446650,-1.043289,0.016978,-4.591964,0.103442
34.000000,0.002000,0.509364,1.791627,-1.169380,1.039139,-1.045124,1.874592,-0.742104,-2.684003,1.878907
35.000000,0.002000,-1.244431,0.967571,-1.015337,0.376137,-0.113618,1.690836,2.330870,-1.991455,2.260658
36.000000,0.002000,1.995602,-0.404575,-0.529141,0.357633,0.121552,2.227679,-3.512231,0.609969,0.740468
37.000000,0.002000,1.876970,1.583740,1.891619,-0.521102,0.982000,0.177116,-1.204888,-1.016467,-1.265616
38.000000,0.002000,1.049581,-0.785934,1.947869,1.374027,0.800323,0.246365,-1.409536,0.811540,-2.500948
39.000000,0.002000,-0.337640,0.992263,1.133595,-0.701810,1.772384,1.673530,-0.125839,-2.687157,-3.675833
