# 
#                 columns are tag, mass, x, y, z, vx, vy, vz, ax, ay, az
#                 Time=0.600000
# 
1.000000,0.002000,1.422630,0.462642,0.922387,-1.593782,-0.122113,-0.761188,-4.074823,-1.095791,-2.630507
2.000000,0.002000,2.066956,2.033016,-0.921100,-0.709471,-0.117814,0.284572,-1.435079,-1.403429,0.648512
3.000000,0.002000,-0.202820,-0.344542,-0.305674,-2.644107,1.094461,1.182965,4.355573,11.537657,11.227057
4.000000,0.002000,0.083069,-0.471304,-0.401467,-1.417431,0.780738,-3.446659,-2.596493,13.304794,10.396489
5.000000,0.002000,0.211450,0.236666,-0.089227,-3.044893,-0.945207,-1.011308,-10.653385,-9.717574,5.809940
6.000000,0.002000,-0.095674,0.510782,0.236630,-0.619668,-3.941089,0.477238,3.654434,-12.888825,-5.365268
7.000000,0.002000,-0.476902,-0.268322,-1.992176,-1.224955,1.174434,1.890989,0.832406,0.455541,3.838466
8.000000,0.002000,0.450650,0.800061,-0.219904,-1.441815,-1.655923,1.666095,-4.832751,-10.031313,2.992436
9.000000,0.002000,2.911567,-0.979026,0.435880,0.499886,1.042292,0.574415,-1.849600,0.644170,-0.283642
10.000000,0.002000,-1.344071,1.719754,1.933063,-1.654269,-0.190213,0.248897,1.047192,-1.354597,-1.494051
11.000000,0.002000,-0.456975,0.155218,0.379943,0.646667,-1.335069,1.927824,9.733687,-3.614243,-9.128233
12.000000,0.002000,-1.420124,-1.003554,-1.098506,1.892008,-0.575126,-1.695659,2.887697,1.994022,2.277621
13.000000,0.002000,0.056119,0.530236,0.045758,-2.986291,-3.020127,0.985931,-3.177517,-14.870053,0.390564
14.000000,0.002000,-0.193741,0.458224,-1.436438,0.423390,2.507721,1.446767,1.183739,-1.571567,5.783683
15.000000,0.002000,-1.602255,1.713078,-0.999077,0.688740,-0.940066,-0.555213,1.812351,-1.922567,1.099335
16.000000,0.002000,0.104844,-0.668616,0.035575,0.926003,3.098067,-1.811613,-1.824137,13.782517,-1.300688
17.000000,0.002000,-1.386600,0.156160,-0.508388,1.712494,0.516821,1.215730,6.104521,-0.919806,2.126788
18.000000,0.002000,0.015596,-0.164284,-1.856112,-0.717537,0.749141,0.160471,0.004905,0.340350,4.562474
19.000000,0.002000,0.757374,0.647433,-0.084136,-0.082553,-1.153907,-0.210148,-7.340074,-6.278788,1.657484
20.000000,0.002000,-0.085099,-0.007621,0.079243,-0.626619,2.292057,0.485226,4.618115,1.849311,-7.338547
21.000000,0.002000,-0.990993,-0.511977,-0.801582,0.491893,0.396108,1.051053,4.448951,2.681836,3.777304
22.000000,0.002000,-1.142472,-0.081431,-1.326525,2.026705,-0.533583,-0.679195,3.416893,0.032991,3.873483
23.000000,0.002000,-1.328972,-0.047670,-0.801423,1.662694,-1.005490,0.949598,4.929438,0.036935,3.538737
24.000000,0.002000,0.345847,0.012473,0.498021,-0.688832,-2.027944,-1.300927,-7.117479,1.482858,-11.827685
25.000000,0.002000,1.006995,-0.856442,-0.121801,-1.309220,1.715772,-0.894737,-5.141675,4.581759,0.535847
26.000000,0.002000,0.009740,-0.124678,-0.086557,1.729633,2.930966,2.282511,-8.566500,10.834493,11.202528
27.000000,0.002000,0.853907,0.244443,-0.083508,0.424516,-0.198813,2.858913,-10.450838,-1.563876,0.816740
28.000000,0.002000,0.670803,-0.148639,-1.207628,-1.119221,-1.080407,1.884445,-3.595870,0.610192,6.146444
29.000000,0.002000,1.491571,2.136705,1.136476,-0.365276,-0.114849,-0.364556,-1.257216,-1.773772,-0.957572
30.000000,0.002000,0.329013,-0.171000,0.499620,0.169496,2.635936,-2.825559,-7.399337,4.779631,-11.115331
