# 
#                 columns are tag, mass, x, y, z, vx, vy, vz, ax, ay, az
#                 Time=0.400000
# 
1.000000,0.002000,1.665469,0.469059,1.024482,-0.852701,0.037296,-0.277456,-3.417702,-0.598434,-1.932007
2.000000,0.002000,2.180574,2.029348,-0.965278,-0.428581,0.151276,0.157607,-1.376818,-1.302017,0.636035
3.000000,0.002000,0.323214,-0.401702,-0.373234,-2.340826,-0.270172,-0.307468,-4.107313,3.836609,4.606107
4.000000,0.002000,0.285504,-0.425738,0.356019,-0.682654,-1.015554,-3.634461,-2.091342,4.777536,-5.107927
5.000000,0.002000,0.628678,0.308903,0.133142,-1.299846,0.074934,-1.024452,-5.982011,-2.395130,-1.230703
6.000000,0.002000,0.048440,1.094088,0.099301,-0.739986,-2.104816,0.780304,0.216849,-6.530913,-0.312351
7.000000,0.002000,-0.219661,-0.491587,-2.298709,-1.327603,1.048665,1.198745,0.240178,0.696106,3.094808
8.000000,0.002000,0.644023,0.984468,-0.498239,-0.529316,-0.399878,1.128156,-3.295879,-4.161973,2.609145
9.000000,0.002000,2.774401,-1.173521,0.315650,0.873301,0.897096,0.626430,-1.895548,0.809992,-0.241379
10.000000,0.002000,-0.992876,1.728853,1.852251,-1.854076,0.108757,0.566645,0.941558,-1.643075,-1.721690
11.000000,0.002000,-0.409041,0.344427,-0.104952,-0.937059,-0.564535,2.532369,4.662066,-3.081539,1.098345
12.000000,0.002000,-1.736709,-0.851099,-0.719419,1.271665,-0.948857,-2.058258,3.067338,1.983580,1.276833
13.000000,0.002000,0.588341,0.945023,-0.136161,-2.263646,-1.408987,0.807222,-3.643982,-5.098626,0.963001
14.000000,0.002000,-0.260709,-0.064096,-1.618936,0.253778,2.670559,0.413101,0.743116,0.124233,4.633691
15.000000,0.002000,-1.704467,1.864109,-0.867597,0.335844,-0.577206,-0.750181,1.693600,-1.763315,0.813661
16.000000,0.002000,-0.101274,-1.085558,0.359730,1.069870,1.324573,-1.435326,0.004089,6.048634,-1.502142
17.000000,0.002000,-1.625563,0.039516,-0.713119,0.734279,0.629456,0.834698,4.217648,-0.271171,1.817420
18.000000,0.002000,0.159794,-0.305781,-1.801567,-0.712264,0.652445,-0.684911,-0.428565,0.640464,4.242287
19.000000,0.002000,0.640541,0.755528,-0.047273,1.128770,0.052041,-0.222065,-3.366893,-5.399384,0.643178
20.000000,0.002000,0.066971,-0.382002,-0.085390,-0.720317,1.383861,0.911354,-0.893345,4.786130,1.442887
21.000000,0.002000,-1.016118,-0.535748,-0.941143,-0.230960,-0.107864,0.345487,3.637545,1.917276,3.448868
22.000000,0.002000,-1.479051,0.021918,-1.120594,1.336214,-0.472825,-1.356378,3.679623,-0.847527,3.553664
23.000000,0.002000,-1.573480,0.144541,-0.930672,0.817096,-0.917510,0.380666,3.687111,-0.478256,2.359009
24.000000,0.002000,0.366134,0.387256,0.573127,0.328244,-1.571649,0.389708,-2.382890,-4.474516,-5.464229
25.000000,0.002000,1.180678,-1.117322,0.062420,-0.485835,0.925211,-0.924974,-3.403242,3.545037,-0.190917
26.000000,0.002000,-0.334167,-0.557300,-0.393404,1.484315,1.528041,1.008536,2.402253,5.775077,4.489075
27.000000,0.002000,0.596825,0.240817,-0.604435,1.904128,0.224532,2.267719,-3.244115,-0.839121,4.028213
28.000000,0.002000,0.836324,0.071270,-1.480001,-0.565158,-1.088763,0.901979,-2.343608,-0.331930,4.244700
29.000000,0.002000,1.539918,2.124946,1.190339,-0.119428,0.229854,-0.173822,-1.218152,-1.692823,-0.966470
30.000000,0.002000,0.213240,-0.607790,0.889974,0.842037,1.791737,-1.278684,-1.526958,3.455456,-5.286507
31.000000,0.002000,-0.290323,0.540679,0.294360,0.750253,-2.635693,-0.114357,4.720842,-3.872719,-2.169468
32.000000,0.002000,0.903829,0.311821,0.414221,-1.024200,-0.384072,-1.265694,-4.490118,-1.828214,-2.698237
33.000000,0.002000,0.433174,0.990236,-0.275428,0.789749,-3.049434,-0.896045,-3.167144,-6.029621,1.217849
34.000000,0.002000,0.765949,1.333516,-0.526096,0.588028,-2.087934,2.400500,-2.420667,-4.087233,1.721200
35.000000,0.002000,-1.008101,0.832353,-0.411726,1.277068,-0.857906,2.315972,4.029054,-3.534473,2.000170
36.000000,0.002000,1.940328,-0.335068,0.159579,-0.746437,0.338755,2.308285,-3.790207,0.671057,-0.311548
37.000000,0.002000,1.669431,1.830435,1.888658,-0.854752,0.655087,-0.193840,-1.051113,-1.168421,-1.218046
38.000000,0.002000,1.393988,-0.506299,1.913911,0.905857,1.061071,-0.461380,-1.787498,0.773587,-2.361692
39.000000,0.002000,-0.513825,1.384774,1.491210,-0.414048,0.891375,0.738560,1.138345,-2.564001,-2.842029
40.000000,0.002000,-0.287106,0.272838,0.650613,-0.037595,-1.286184,-1.596492,2.542156,-2.585182,-5.916944
