# 
#                 columns are tag, mass, x, y, z, vx, vy, vz, ax, ay, az
#                 Time=0.800000
# 
1.000000,0.002000,1.017743,0.412004,0.712576,-2.524226,-0.451023,-1.380738,-6.645128,-2.659360,-4.515164
2.000000,0.002000,1.895637,1.979972,-0.851017,-1.008452,-0.421448,0.415810,-1.567931,-1.654434,0.626837
3.000000,0.002000,-0.397150,0.072854,0.086699,1.775944,2.593490,2.110638,35.889120,-9.726789,-9.396069
4.000000,0.002000,-0.203522,-0.146284,-0.837065,-1.198684,2.179526,-0.768434,4.136131,2.699899,15.078080
5.000000,0.002000,-0.332481,-0.141216,-0.038401,-0.475468,-1.800271,1.546306,34.229065,15.054944,3.045705
6.000000,0.002000,-0.057055,-0.396373,0.022524,1.036175,-2.828475,-2.600185,6.215021,37.908513,-0.318032
7.000000,0.002000,-0.698320,-0.026788,-1.529214,-0.940241,1.225196,2.791674,2.313483,-0.026251,5.413412
8.000000,0.002000,0.027339,0.161650,0.145794,-2.980433,-5.573828,1.399391,-7.782235,-20.862369,-17.756469
9.000000,0.002000,2.974543,-0.758675,0.544720,0.129347,1.156438,0.512069,-1.865531,0.499979,-0.340800
10.000000,0.002000,-1.653482,1.656119,1.953885,-1.437435,-0.439427,-0.036342,1.115987,-1.151352,-1.365046
11.000000,0.002000,-0.117317,-0.130948,0.459537,2.673749,-1.139982,-1.727033,4.840615,9.657035,-30.123894
12.000000,0.002000,-0.992582,-1.076681,-1.390300,2.357191,-0.152184,-1.193139,2.001014,2.222328,3.017679
13.000000,0.002000,-0.311724,-0.340511,0.112401,0.480446,-4.046910,-0.700869,20.989148,20.909042,-6.557558
14.000000,0.002000,-0.093073,0.906226,-1.032656,0.560844,1.851760,2.610849,0.604556,-5.044977,6.083737
15.000000,0.002000,-1.427314,1.484923,-1.085567,1.067052,-1.350121,-0.291050,2.043501,-2.156256,1.643938
16.000000,0.002000,0.104358,0.277142,-0.205002,-1.486898,5.077075,0.475618,-11.148057,-24.115355,18.675591
17.000000,0.002000,-0.895765,0.233375,-0.215628,3.414651,0.171731,1.754701,13.265067,-3.345511,3.588388
18.000000,0.002000,-0.126388,-0.009496,-1.728835,-0.692321,0.791849,1.139319,0.306515,0.135294,5.401250
19.000000,0.002000,0.534126,0.263538,-0.082458,-2.582840,-2.818420,0.266729,-21.893704,-11.219917,4.455945
20.000000,0.002000,-0.008873,0.176807,-0.010493,1.283290,-1.674736,-0.940911,5.240970,-23.318853,-7.982263
21.000000,0.002000,-0.775515,-0.370805,-0.497573,1.840434,1.098359,2.085833,9.797450,4.879386,6.492054
22.000000,0.002000,-0.671178,-0.181736,-1.371413,2.666904,-0.446682,0.308681,2.814887,0.831159,6.056750
23.000000,0.002000,-0.877650,-0.238665,-0.532074,3.002122,-0.806863,1.844379,10.263732,2.539916,6.333595
24.000000,0.002000,-0.034978,-0.227678,-0.062128,-3.019790,0.893488,-3.933413,7.697486,25.171907,15.269902
25.000000,0.002000,0.611041,-0.400561,-0.274363,-2.909944,2.984961,-0.484178,-12.884323,9.764270,5.859399
26.000000,0.002000,0.107189,0.326176,0.247827,-0.778945,0.134216,0.099858,-6.705320,-29.721554,-24.369595
27.000000,0.002000,0.698113,0.159501,0.454585,-2.100330,-0.691929,2.217704,-13.913305,-2.814786,-8.187577
28.000000,0.002000,0.356243,-0.332383,-0.679573,-2.133440,-0.580107,3.613776,-6.941420,6.496848,13.232650
29.000000,0.002000,1.392576,2.076988,1.044391,-0.628599,-0.489574,-0.555750,-1.368213,-1.986038,-0.951062
30.000000,0.002000,0.036818,0.291126,-0.259361,-3.367652,0.474667,-3.322948,-2.993040,-27.251377,27.655810
31.000000,0.002000,0.159238,-0.315189,-0.214659,-0.034693,1.509875,-1.283006,-15.587676,25.775329,19.248684
32.000000,0.002000,-0.310689,-0.086824,-0.159669,-4.364459,-1.429082,0.157395,33.738431,10.515942,15.933322
33.000000,0.002000,0.194477,-0.537253,-0.208190,-2.956489,-2.651748,1.980615,-9.681716,21.521442,6.634383
34.000000,0.002000,0.611823,0.096458,0.485861,-2.245336,-4.126311,1.926253,-14.666192,-1.859540,-10.374694
35.000000,0.002000,0.035256,-0.002828,0.432765,4.218136,-3.733870,-0.400127,-1.721478,2.093905,-36.739840
36.000000,0.002000,1.321466,-0.142139,0.993239,-2.383836,0.635884,1.648077,-4.493486,0.588348,-3.530991
37.000000,0.002000,1.245694,1.991221,1.711246,-1.260159,0.123569,-0.701560,-1.006548,-1.560012,-1.350764
38.000000,0.002000,1.597497,-0.050826,1.538580,0.055989,1.185121,-1.420143,-2.617613,0.102353,-2.493897
39.000000,0.002000,-0.594797,1.548077,1.575443,0.004856,-0.070371,-0.299058,1.011509,-2.446798,-2.521489
40.000000,0.002000,0.165395,-0.106052,-0.350695,1.500133,0.952579,-0.566316,-16.031093,7.635885,26.938720
41.000000,0.002000,-0.119383,0.393339,-0.118147,-2.590200,-1.707875,-2.694335,10.568813,-33.660532,10.923164
42.000000,0.002000,-0.402318,0.184665,0.142487,-1.100412,-0.161559,3.027264,28.668997,-7.252935,-13.688407
43.000000,0.002000,0.154312,-0.336986,0.284568,-0.172956,-3.012081,-4.786345,-13.196528,23.888738,-20.470104
44.000000,0.002000,-0.186216,0.192754,-0.260636,-1.882178,-1.031436,-2.421600,15.941269,-16.996908,25.361071
45.000000,0.002000,0.189172,-0.068195,0.234724,-2.532965,-2.605432,-1.070284,-21.307174,10.435171,-25.661031
46.000000,0.002000,0.879439,-0.541694,-0.175472,-2.486939,-0.703412,0.607918,-9.819984,5.992606,1.795329
47.000000,0.002000,-0.224975,0.030262,0.444305,0.665181,5.148225,0.703767,15.853637,-1.436411,-29.214683
48.000000,0.002000,-0.000856,-0.020197,-0.126372,2.566876,0.602658,2.918040,-8.076090,1.171071,18.926123
49.000000,0.002000,0.962220,0.344430,1.111444,-3.370465,-1.280890,1.843410,-4.362512,-1.469016,-4.988405
50.000000,0.002000,1.504853,-0.247032,-0.566425,-1.117418,2.004627,0.450389,-5.532178,0.820848,1.960129
51.000000,0.002000,-0.706759,0.352212,0.523769,1.052334,-3.884316,0.925345,10.825862,-5.488871,-8.208574
52.000000,0.002000,-0.094606,-0.305439,0.341698,3.860718,2.664524,-0.528668,4.560953,21.248056,-23.807579
53.000000,0.002000,0.081120,-0.989258,-0.854456,-1.887122,1.640200,1.704754,-0.761486,6.330737,5.494609
54.000000,0.002000,0.045171,0.115799,0.237278,0.465159,0.704160,-6.599288,-6.330258,-14.812005,-24.323195
