# 
#                 columns are tag, mass, x, y, z, vx, vy, vz, ax, ay, az
#                 Time=1.000000
# 
1.000000,0.002000,0.320071,0.237467,0.300038,-4.923665,-1.558146,-3.088787,-17.797290,-7.448923,-9.056492
2.000000,0.002000,1.661789,1.861302,-0.754822,-1.336462,-0.775281,0.551847,-1.760972,-1.961580,0.775112
3.000000,0.002000,0.290835,0.266609,0.212385,3.112635,-0.851581,-0.970490,-22.006827,-10.021408,-12.026516
4.000000,0.002000,-0.345514,0.285752,-0.678426,-0.119428,1.867240,2.440789,8.440575,-6.491173,16.195572
5.000000,0.002000,0.034604,-0.135009,0.179180,2.886356,1.889485,-0.098093,-2.771992,13.593527,-15.459978
6.000000,0.002000,0.136663,-0.343089,-0.340961,0.689449,2.620431,-0.486289,-4.601064,12.191030,19.189692
7.000000,0.002000,-0.817199,0.212014,-0.848021,-0.088338,1.113810,4.108049,7.458522,-1.775924,7.974203
8.000000,0.002000,-0.368008,-0.751121,0.074086,-0.854500,-2.664156,-1.162215,8.801380,16.910344,-0.684550
9.000000,0.002000,2.962726,-0.518374,0.639903,-0.249855,1.241539,0.437447,-1.936775,0.350654,-0.410975
10.000000,0.002000,-1.918460,1.547169,1.917614,-1.194521,-0.636766,-0.337492,1.406864,-0.969646,-1.249623
11.000000,0.002000,0.266042,-0.057953,-0.311959,0.279399,1.532941,-3.843587,-15.212173,2.646637,18.735075
12.000000,0.002000,-0.485823,-1.061492,-1.562715,2.680211,0.315035,-0.504304,1.138040,2.515999,3.820812
13.000000,0.002000,0.016159,-0.673908,-0.084368,2.049235,0.663380,-0.996326,-0.540134,22.028048,1.244012
14.000000,0.002000,0.024869,1.143438,-0.404335,0.578179,0.352975,3.614500,-0.488839,-10.125660,3.884947
15.000000,0.002000,-1.168898,1.168979,-1.105702,1.538765,-1.827379,0.123883,2.704884,-2.694963,2.645338
16.000000,0.002000,-0.224706,0.727995,0.089001,-1.314203,-0.145472,1.789468,4.023734,-19.384523,-0.418121
17.000000,0.002000,0.176490,0.085632,0.178331,6.490389,-2.071093,1.445113,-13.003010,-4.537703,-16.046438
18.000000,0.002000,-0.255263,0.147932,-1.379272,-0.562589,0.745434,2.436228,1.457001,-0.878488,7.955591
19.000000,0.002000,-0.407382,-0.323761,0.062876,-4.645761,-1.687435,0.949048,20.954190,19.734320,-3.199783
20.000000,0.002000,0.077931,-0.208560,-0.022638,-0.702151,-0.704773,0.760057,-7.086703,22.200153,3.026283
21.000000,0.002000,-0.089852,0.000548,0.099443,5.299569,2.667766,3.620844,6.180855,4.337848,-6.452481
22.000000,0.002000,-0.087194,-0.247944,-1.166519,3.098910,-0.173685,1.886573,0.642264,2.002942,10.519026
23.000000,0.002000,0.009845,-0.243085,0.025393,5.741400,1.517165,3.633447,1.952459,28.460327,-3.855702
24.000000,0.002000,-0.373147,0.183301,-0.410603,-0.168213,2.037551,0.499118,18.539535,-6.884147,15.757750
25.000000,0.002000,-0.279635,0.326190,-0.069903,-4.777276,3.099699,2.757680,16.923650,-18.489689,3.271106
26.000000,0.002000,-0.129310,-0.101095,-0.067969,-0.923365,-2.884752,-2.225223,10.301360,13.331818,7.685069
27.000000,0.002000,0.023023,-0.016453,0.616706,-4.270711,-0.935876,-1.132216,-2.031551,0.940091,-22.729095
28.000000,0.002000,-0.220957,-0.134288,0.321520,-2.832109,3.006007,4.993603,9.083745,7.472657,-20.100299
29.000000,0.002000,1.238519,1.937345,0.913448,-0.919301,-0.919937,-0.758895,-1.587987,-2.385055,-1.103778
30.000000,0.002000,-0.474877,0.064396,-0.451819,-1.253635,-1.880121,1.042142,14.924611,-2.715765,16.036524
31.000000,0.002000,-0.095870,0.246451,-0.007012,-1.819660,2.379762,2.981349,4.767831,-18.948126,6.330014
32.000000,0.002000,-0.634003,-0.192290,0.033567,0.869070,0.266432,1.319171,22.024167,5.970818,1.770069
33.000000,0.002000,-0.419338,-0.593673,0.241428,-2.412130,1.842526,2.043282,10.215276,16.396072,-6.223072
34.000000,0.002000,-0.068910,-0.632668,0.586448,-3.959615,-2.626365,-0.956737,0.518308,13.236407,-12.271609
35.000000,0.002000,0.554505,-0.506507,-0.064646,0.817800,-1.015756,-3.296035,-13.080693,13.992928,0.089840
36.000000,0.002000,0.754171,-0.005751,1.235613,-3.285443,0.711110,0.669145,-4.290143,-0.005679,-6.653204
