# 
#                 columns are tag, mass, x, y, z, vx, vy, vz, ax, ay, az
#                 Time=0.900000
# 
1.000000,0.002000,0.726781,0.350842,0.547820,-3.367554,-0.810442,-1.966365,-11.112466,-4.924512,-7.873643
2.000000,0.002000,1.786880,1.929429,-0.806300,-1.167611,-0.590845,0.479407,-1.626508,-1.746871,0.673494
3.000000,0.002000,-0.086947,0.267595,0.239166,4.006259,1.008871,0.620523,8.277739,-23.046995,-17.675152
4.000000,0.002000,-0.300851,0.077600,-0.838413,-0.741346,2.226707,0.761264,5.020082,-1.698364,15.862290
5.000000,0.002000,-0.237564,-0.233984,0.115572,2.146699,-0.005279,1.283156,20.399438,19.085791,-10.841167
6.000000,0.002000,0.048406,-0.507612,-0.214312,1.028089,0.443195,-1.941977,-2.420566,27.541858,11.517216
7.000000,0.002000,-0.778285,0.095044,-1.221348,-0.632044,1.205141,3.383517,3.959270,-0.429083,6.495818
8.000000,0.002000,-0.231567,-0.389635,0.173515,-1.949332,-4.731755,-0.620243,10.846939,23.400880,-13.395485
9.000000,0.002000,2.978109,-0.640653,0.594173,-0.058509,1.202775,0.476481,-1.893511,0.425676,-0.371655
10.000000,0.002000,-1.791673,1.606564,1.943462,-1.327595,-0.550052,-0.172754,1.026305,-1.046094,-1.431207
11.000000,0.002000,0.145063,-0.169596,0.135765,2.166794,0.482768,-4.528222,-13.478979,13.368970,-12.615950
12.000000,0.002000,-0.747310,-1.080729,-1.493779,2.541600,0.072762,-0.868611,1.618876,2.324966,3.471518
13.000000,0.002000,-0.184918,-0.628062,0.020287,1.821546,-1.619064,-1.061940,6.427721,25.665987,-1.023742
14.000000,0.002000,-0.034523,1.062212,-0.743656,0.600256,1.227295,3.152200,0.139657,-7.493851,5.065780
15.000000,0.002000,-1.309891,1.338842,-1.105909,1.286595,-1.575225,-0.109480,2.358458,-2.373137,2.028674
16.000000,0.002000,-0.069580,0.633747,-0.086014,-1.762155,2.141595,1.598631,4.389002,-27.568959,3.602876
17.000000,0.002000,-0.464717,0.222563,-0.018493,5.468723,-0.587571,2.166359,26.914019,-17.724705,6.200668
18.000000,0.002000,-0.193758,0.070173,-1.586383,-0.651803,0.797510,1.728077,0.522313,-0.139357,6.494795
