# 
#                 columns are tag, mass, x, y, z, vx, vy, vz, ax, ay, az, EK, EU, E
#                 Time=6.000000
# 
1.000000,0.002000,-5.971218,3.645811,3.392813,-0.165380,0.489040,0.585498,0.234954,-0.143474,-0.131544,32.822944,-73.712483,-40.889539
2.000000,0.002000,-3.792742,-2.598921,0.988527,0.665619,-0.561259,1.536146,0.573799,0.393759,-0.133010,0.000000,0.000000,0.000000
3.000000,0.002000,0.334478,-1.268478,0.476707,-1.383123,2.026010,-0.683010,-0.552122,3.911937,-0.772110,0.000000,0.000000,0.000000
4.000000,0.002000,-0.535861,-2.648685,0.193941,0.135509,-0.534681,1.218458,0.339801,1.720793,-0.124860,nan,0.000000,0.000000
5.000000,0.002000,-0.529572,0.054251,-0.107816,1.445979,0.226193,-1.883883,1.699912,-0.358292,0.294957,0.000000,0.000000,0.000000
6.000000,0.002000,-0.619639,0.370647,-0.835306,-1.536222,-1.908178,-0.750946,1.450457,-1.080640,2.674876,nan,0.000000,0.000000
7.000000,0.002000,-0.591107,-2.795957,7.680586,-0.028615,-0.578594,0.724594,0.026563,0.095801,-0.259924,0.000000,0.002000,0.000000
8.000000,0.002000,-0.784528,-0.593422,-0.937991,-0.602752,-0.207947,-2.151666,1.767456,1.505436,2.282175,0.000000,0.002000,0.000000
9.000000,0.002000,-6.600114,4.055093,0.883705,-0.643637,0.365280,0.166554,0.256409,-0.155956,-0.031555,0.000000,0.002000,0.000000
10.000000,0.002000,5.315504,0.056053,-3.293696,-0.000079,0.329724,0.361542,-0.353789,-0.006050,0.224090,0.000000,0.002000,0.000000
11.000000,0.002000,-0.736038,-0.984237,0.336411,-0.279385,-1.235151,1.651413,1.812542,2.076192,-1.036942,0.000000,0.002000,0.000000
12.000000,0.002000,7.085495,4.856623,0.304812,0.411305,0.446856,0.085048,-0.219177,-0.144921,0.010392,0.000000,0.002000,0.000000
13.000000,0.002000,0.510147,-0.589154,-1.426587,1.269173,1.774088,0.084981,-1.107544,1.104827,2.540502,0.000000,0.002000,0.000000
14.000000,0.002000,-2.785644,0.046128,2.084409,0.883574,-0.337470,-1.327485,0.983186,0.020005,-0.749033,nan,0.002000,0.000000
15.000000,0.002000,0.706152,-4.849070,-0.624471,-0.299396,-0.069327,-0.215057,-0.096448,0.616813,0.072225,0.000000,0.002000,0.000000
16.000000,0.002000,1.196167,-4.218340,-4.609228,-0.107382,-0.455329,0.306571,-0.073720,0.275759,0.293272,nan,0.002000,0.000000
17.000000,0.002000,0.276545,-0.699235,-0.439081,-1.920739,1.939608,-0.097692,-0.504606,1.436804,1.906408,0.000000,0.002000,0.000000
18.000000,0.002000,1.556393,1.433286,-0.917458,0.327352,-0.271665,-1.154939,-1.553769,-1.203997,0.939531,nan,0.002000,0.000000
19.000000,0.002000,-0.061949,-0.152596,-0.621016,-0.283400,0.661606,0.461456,0.252550,0.563606,1.942434,0.000000,0.002000,0.000000
20.000000,0.002000,-0.806914,0.540994,-0.122288,-0.582141,-1.678010,-0.957530,2.578331,-1.351108,0.542680,nan,0.002000,0.000000
21.000000,0.002000,0.165948,0.798140,0.884048,1.983031,-0.187110,0.718745,-0.593267,-2.089658,-2.293859,0.000000,0.002000,0.000000
22.000000,0.002000,0.611152,-0.279213,0.214825,2.510452,-1.932971,1.141482,-1.725356,1.154280,-0.707294,nan,0.002000,0.000000
23.000000,0.002000,-0.289602,1.601732,1.236826,2.145847,-0.976990,1.132295,-0.007395,-2.433497,-1.423226,0.000000,0.002000,0.000000
24.000000,0.002000,-0.146273,-0.858973,-0.109227,1.934002,-1.716488,-0.130436,0.225203,2.723820,0.558428,nan,0.002000,0.000000
25.000000,0.002000,0.420228,-0.832933,0.271104,0.977095,2.178388,1.079601,-1.255069,2.537580,-0.587284,0.000000,0.002000,0.000000
26.000000,0.002000,-0.274133,-0.978433,-0.733879,-1.659566,1.698918,2.337305,0.242462,2.641113,1.930896,nan,0.002000,0.000000
27.000000,0.002000,0.506339,1.189974,-0.069417,-0.180516,-1.361130,0.864079,-1.142024,-3.108302,-0.040167,0.000000,0.002000,0.000000
28.000000,0.002000,0.091580,-0.175166,-0.750596,0.574648,2.703374,0.590376,-0.258893,-0.054713,2.643055,nan,0.002000,0.000000
29.000000,0.002000,-7.560338,-7.928299,1.567296,-0.931235,-0.956651,0.382982,0.110545,0.114586,-0.022168,0.000000,0.002000,0.000000
30.000000,0.002000,-0.674895,-0.521711,-1.247484,-1.357684,-1.571616,-1.424697,1.226769,1.535857,2.703565,nan,0.002000,0.000000
31.000000,0.002000,1.469624,-0.672357,-0.346800,0.214615,-1.466471,-0.142921,-2.473043,1.437226,0.547427,0.000000,0.002000,0.000000
32.000000,0.002000,-0.772479,-0.121836,-0.283436,0.883231,-1.799555,-0.632613,2.381777,0.492913,1.018156,nan,0.002000,0.000000
33.000000,0.002000,0.237829,-0.658005,1.196585,-0.709095,1.424319,-1.123119,-0.854673,1.663835,-2.975382,0.000000,0.002000,0.000000
34.000000,0.002000,1.559374,-0.968073,2.803131,-0.294974,-0.990443,0.614296,-0.602632,0.342123,-0.997016,nan,0.002000,0.000000
35.000000,0.002000,-2.999502,-3.858941,7.303715,-0.552055,-0.212496,0.501364,0.082167,0.103838,-0.205404,0.000000,0.002000,0.000000
36.000000,0.002000,-0.948237,-2.986427,4.035363,0.610089,0.121501,-0.482971,0.104677,0.344499,-0.468721,nan,0.002000,0.000000
37.000000,0.002000,-7.856365,-8.273766,2.734043,-0.944239,-1.093742,0.624885,0.097122,0.101515,-0.035047,0.000000,0.002000,0.000000
38.000000,0.002000,-1.372714,-1.017126,0.288458,-0.639554,-1.610447,1.392643,2.207685,1.791323,-0.340710,nan,0.002000,0.000000
39.000000,0.002000,0.155420,-0.607067,-0.545167,-0.655375,1.339256,-1.676304,-0.320215,1.733338,1.617169,0.000000,0.002000,0.000000
40.000000,0.002000,-2.456504,0.939137,-1.749802,-0.399029,-0.210805,-0.826222,1.091773,-0.428416,0.777998,nan,0.002000,0.000000
41.000000,0.002000,1.004667,-0.401961,-2.054875,0.064098,-0.707706,0.494215,-0.972417,0.445591,1.883401,0.000000,0.002000,0.000000
42.000000,0.002000,-0.465242,2.506199,-4.179726,0.640251,-0.315502,-0.068329,0.072025,-0.315888,0.541585,nan,0.002000,0.000000
43.000000,0.002000,-4.212827,1.331429,3.456233,0.348431,0.801213,-0.097557,0.377978,-0.127285,-0.325559,0.000000,0.002000,0.000000
44.000000,0.002000,0.060554,1.266274,-0.997815,-1.249845,0.364880,0.661803,-0.535707,-2.264438,1.978014,nan,0.002000,0.000000
45.000000,0.002000,-0.533776,0.457994,1.019667,1.743719,0.517006,1.586620,1.546421,-0.549502,-3.090374,0.000000,0.002000,0.000000
46.000000,0.002000,-1.217057,-0.374287,0.069967,0.816949,-0.668898,1.349386,2.837217,0.620072,-0.045541,nan,0.002000,0.000000
47.000000,0.002000,2.875157,0.177047,-0.526568,-0.549439,0.349896,0.703927,-1.524575,-0.074908,0.282131,0.000000,0.002000,0.000000
48.000000,0.002000,-1.030039,1.398767,0.050649,-0.902270,-0.100966,-0.502024,1.867269,-2.617217,-0.065678,nan,0.002000,0.000000
49.000000,0.002000,-9.061332,-2.868756,0.950664,-1.000621,-0.304964,0.038180,0.202817,0.065857,-0.020996,0.000000,0.002000,0.000000
50.000000,0.002000,-1.264407,-0.877605,-1.662410,0.211429,-0.966587,-0.829135,1.545371,0.808607,1.774192,nan,0.002000,0.000000
51.000000,0.002000,1.480512,-1.953322,0.457757,-0.178035,0.723869,-0.228803,-1.204193,1.486016,-0.283905,0.000000,0.002000,0.000000
52.000000,0.002000,-0.028422,0.174278,-1.767992,1.013429,0.136529,0.612900,0.005304,-0.099518,2.997362,nan,0.002000,0.000000
53.000000,0.002000,-0.233728,1.675121,1.572981,0.343019,-0.032585,0.199926,0.182238,-1.705904,-1.546264,0.000000,0.002000,0.000000
54.000000,0.002000,-0.726529,-0.274614,-2.776104,0.860872,0.546348,-1.085303,0.388751,0.207278,1.500249,nan,0.002000,0.000000
55.000000,0.002000,1.577733,-0.123149,0.685384,0.176227,-0.091393,1.407013,-2.681333,0.343403,-1.190080,0.000000,0.002000,0.000000
56.000000,0.002000,0.437337,-0.406425,0.225102,-0.434494,1.220458,-2.535213,-1.129864,1.500975,-0.483465,nan,0.002000,0.000000
