# 
#                 columns are tag, mass, x, y, z, vx, vy, vz, ax, ay, az, EK, EU, E
#                 Time=4.000000
# 
1.000000,0.002000,-5.077817,2.353014,1.938092,-0.794097,0.823327,0.879304,0.453659,-0.209707,-0.158757,40.698356,-84.968756,-44.270400
2.000000,0.002000,-3.853035,-0.793101,-2.030681,-0.637880,-1.161758,1.301739,0.676707,0.148811,0.365349,0.000000,0.000000,0.000000
3.000000,0.002000,1.005502,-0.921946,0.366289,1.136544,-2.234555,0.793126,-2.919502,2.962521,-1.335575,0.000000,0.000000,0.000000
4.000000,0.002000,0.232998,1.697846,0.096878,-0.737897,-1.335766,-1.839889,0.750767,-4.070053,-0.586204,nan,0.000000,0.000000
5.000000,0.002000,0.575490,0.194483,-0.438951,-0.252440,-0.025579,2.461805,-3.926154,-1.065291,1.923142,0.000000,0.000000,0.000000
6.000000,0.002000,0.516776,-0.418125,0.738072,1.713768,1.543060,1.333923,-2.809254,2.715099,-3.376319,nan,0.000000,0.000000
7.000000,0.002000,-0.477652,-1.438209,5.600955,-0.088281,-0.790532,1.430628,0.040141,0.131677,-0.508136,0.000000,0.002000,0.000000
8.000000,0.002000,0.946719,1.000605,1.214139,0.235997,0.019845,1.313860,-1.604755,-1.863998,-2.308409,0.000000,0.002000,0.000000
9.000000,0.002000,-4.704111,2.943044,0.480101,-1.311669,0.792775,0.241362,0.455485,-0.298176,-0.040457,0.000000,0.002000,0.000000
10.000000,0.002000,4.611439,-0.584267,-3.534847,0.713541,0.287978,-0.144003,-0.398464,0.064900,0.314466,0.000000,0.002000,0.000000
11.000000,0.002000,0.697939,0.950465,0.273169,0.714881,1.585708,-1.307511,-2.758063,-3.173465,-1.247574,0.000000,0.002000,0.000000
12.000000,0.002000,5.764951,3.646932,0.137808,0.946899,0.786725,0.085081,-0.348318,-0.219232,-0.001263,0.000000,0.002000,0.000000
13.000000,0.002000,-0.813688,0.149620,1.069773,-1.458602,-2.354508,-0.493169,2.552469,-0.350052,-3.722203,0.000000,0.002000,0.000000
14.000000,0.002000,-3.182430,0.662526,3.547077,-0.316877,-0.256346,-0.206445,0.433958,-0.077261,-0.503206,nan,0.002000,0.000000
15.000000,0.002000,1.020566,-3.358739,-0.077351,0.046229,-1.563612,-0.315363,0.057446,1.783379,-0.102259,0.000000,0.002000,0.000000
16.000000,0.002000,1.266174,-2.760182,-4.552506,0.050776,-1.001159,-0.405547,-0.112278,0.303666,0.460366,nan,0.002000,0.000000
