# 
#                 columns are tag, mass, x, y, z, vx, vy, vz, ax, ay, az, EK, EU, E
#                 Time=8.000000
# 
1.000000,0.002000,-5.879973,4.346585,4.306867,0.239214,0.214964,0.326403,0.179072,-0.130691,-0.131662,35.231262,-73.881097,-38.649835
2.000000,0.002000,-1.516689,-2.870865,3.499166,1.500058,0.307452,0.851270,0.250659,0.450683,-0.481552,0.000000,0.000000,0.000000
3.000000,0.002000,-0.912325,2.543951,-0.696716,0.359080,0.235857,-0.139565,0.568720,-1.593212,0.433348,0.000000,0.000000,0.000000
4.000000,0.002000,0.090656,-0.493132,1.442146,0.306503,2.686501,-0.841471,-0.312090,0.947846,-2.784240,nan,0.000000,0.000000
5.000000,0.002000,0.565005,-0.084251,0.254571,-1.678388,-0.012512,1.695819,-1.637871,1.000640,-1.334840,0.000000,0.000000,0.000000
6.000000,0.002000,-0.246963,-1.102163,0.573304,1.521508,1.562812,0.930721,0.807698,2.773794,-0.968164,nan,0.000000,0.000000
7.000000,0.002000,-0.609462,-3.770226,8.665443,0.006047,-0.398480,0.280642,0.012796,0.085273,-0.192513,0.000000,0.002000,0.000000
8.000000,0.002000,0.104137,0.320484,-0.513756,0.918208,0.440019,2.892261,-0.892795,-0.859854,2.315025,0.000000,0.002000,0.000000
9.000000,0.002000,-7.424419,4.505785,1.155844,-0.195591,0.094807,0.105968,0.203551,-0.122747,-0.029153,0.000000,0.002000,0.000000
10.000000,0.002000,4.534064,0.682567,-2.103016,-0.853773,0.295211,0.853601,-0.607913,-0.008200,0.245393,0.000000,0.002000,0.000000
11.000000,0.002000,0.499799,0.461917,0.201276,0.389448,1.829304,-2.278674,-1.479617,-1.283871,-0.818915,0.000000,0.002000,0.000000
12.000000,0.002000,7.527242,5.468628,0.478931,0.042819,0.173573,0.081418,-0.170414,-0.124639,-0.009227,0.000000,0.002000,0.000000
13.000000,0.002000,-0.253100,1.060535,1.519317,-1.420915,-1.174309,0.843113,0.509938,-1.529575,-2.571086,0.000000,0.002000,0.000000
14.000000,0.002000,1.875376,0.008214,-1.429283,2.481553,0.444901,-0.765145,-1.661623,-0.034068,1.331337,nan,0.002000,0.000000
15.000000,0.002000,-0.036621,-3.657285,-0.860862,-0.421119,1.379101,0.016823,-0.022248,0.966856,0.211135,0.000000,0.002000,0.000000
16.000000,0.002000,0.837092,-4.533598,-3.430645,-0.247075,0.183432,0.876228,-0.067968,0.401307,0.298726,nan,0.002000,0.000000
17.000000,0.002000,-0.874259,1.647384,0.806484,0.980630,-0.723769,0.301956,1.087919,-2.178558,-0.821533,0.000000,0.002000,0.000000
